brand,model,price_thb,price_lo_thb,price_hi_thb,basis_kind,spread_reason,source,source_url,asof,confidence,discontinued,note
DJI,NEO 2,7500,7500,18300,ป้ายร้าน-ตัวเปล่า,ชุดคอมโบหลายแบบ,World Camera / DJI Store Thailand 8330,https://worldcamera.co.th/,2026-08-04,สูง,,
DJI,FLIP,12900,12900,12900,ป้ายร้าน-ตัวเปล่า,-,DJI Store Thailand,https://djistore-thailand.com/,2026-08-04,สูง,,
DJI,LITO X1,11450,11450,11450,ป้ายร้าน-ตัวเปล่า,-,DJI Store Thailand,https://djistore-thailand.com/,2026-08-04,สูง,,วางขาย เม.ย. 2569
DJI,AVATA 2,14900,14900,34600,ป้ายร้าน-ตัวเปล่า,ชุดคอมโบ 1-3 แบตเตอรี่,World Camera / DJI Store Thailand,https://worldcamera.co.th/,2026-08-04,สูง,,
DJI,SPARK,15490,15490,21000,ป้ายร้าน-ตัวเปล่า,ชุดคอมโบ,DJI Bangkok,https://www.djibangkok.com/shop/dji-spark/,2026-08-04,กลาง,,
DJI,MAVIC AIR,30000,30000,39500,ป้ายร้าน-ตัวเปล่า,สัญญาภาครัฐเป็นขอบบน,DJI Bangkok / e-GP ปีงบ 2563,https://www.djibangkok.com/shop/dji-mavic-air/,2026-08-04,กลาง,yes,ไม่ใช้ราคาล้างสต๊อก 12000 ของ World Camera · 🏷️ เลิกผลิตแล้ว: DJI ออก Air 2 / Air 2S / Air 3 / Air 3S แทนแล้ว 4 เจเนอเรชัน
DJI,MAVIC AIR 2,25900,25900,43500,ป้ายร้าน-ตัวเปล่า,ชุดคอมโบ + สัญญาภาครัฐ,DJI Bangkok / e-GP ปีงบ 2564,https://www.djibangkok.com/shop/dji-mavic-air-2/,2026-08-04,กลาง,,
DJI,AIR 2S,36300,36300,46200,ป้ายร้าน-ตัวเปล่า,ชุด Fly More Combo,DJI Reseller (toon-ocean),https://www.toon-ocean.com/shop/dji-air-2s/,2026-08-04,กลาง,yes, · 🏷️ เลิกผลิตแล้ว: DJI ออก Air 3 (2566) และ Air 3S (2567) แทนแล้ว 2 เจเนอเรชัน
DJI,AIR 3,34990,27990,42490,ป้ายร้าน-ตัวเปล่า,ขอบล่าง = ราคาลดเฉพาะซื้อทางเว็บ 27990 · ขอบบน = Fly More Combo (RC-N2) 42490,Aquapro (ตัวแทนจำหน่ายไทย),https://www.aquapro.co.th/product/dji-air-3-dji-rc-n2/,2026-08-16,สูง,,"ชุดมาตรฐาน โดรน+รีโมต DJI RC-N2+แบต 1 ก้อน · ประกันศูนย์ไทย · 🚨 เดิมเป็น ""อนุมาน"" ที่ครอบเพดานด้วยราคา Air 3S — ตอนนี้เจอราคาป้ายจริงแล้วและได้ 34990 เท่ากันพอดี จึงย้ายออกจากกลุ่มอนุมาน · ใช้ราคาป้ายไม่ใช่ราคาลด ตามข้อจำกัดข้อ 1 ของรายงานที่ระบุว่าไม่นับโปรโมชัน"
DJI,MAVIC PRO,34190,34190,40000,ป้ายร้าน-ตัวเปล่า,ชุดคอมโบ (สัญญาภาครัฐ),DJI Bangkok / e-GP ปีงบ 2562,https://www.djibangkok.com/,2026-08-04,กลาง,,ไม่ใช้ราคาล้างสต๊อก 19000 ของรุ่น Platinum
DJI,MAVIC 3,73890,73890,73890,ป้ายร้าน-ตัวเปล่า,-,DJI Bangkok,https://www.djibangkok.com/shop/dji-mavic-3/,2026-08-04,กลาง,,e-GP มีแถวเดียว 225600 เป็นชุดครุภัณฑ์ ไม่ใช้
DJI,MAVIC 3 PRO,73990,73990,119790,ป้ายร้าน-ตัวเปล่า,ขอบบน = Fly More Combo (DJI RC Pro) 119790 · ชุดกลาง Fly More Combo (DJI RC) 93990,lnwGadget Store,https://store.lnwgadget.com/dji-mavic-3-pro-dji-rc-1.html,2026-08-16,สูง,,ชุดมาตรฐาน โดรน+รีโมต DJI RC+แบต 1 ก้อน+ที่ชาร์จ 65W · 🚨 แก้เมื่อ 16 ส.ค. 2569 — ของเดิม 93990 จาก DJI Bangkok ติดป้ายว่าตัวเปล่าแต่หน้านั้นไม่ระบุชุด และ 93990 ตรงกับราคา Fly More Combo พอดี = ปนฐานมาตั้งแต่แรก
DJI,MAVIC 2 PRO,56500,56500,73000,สัญญาภาครัฐ,ชุดที่รวมอุปกรณ์ต่างกัน,e-GP ปีงบ 2562 / DJI Bangkok (รวม Smart Controller),https://data.go.th,2026-08-04,ต่ำ,,ไม่พบราคาป้ายตัวเปล่า
DJI,MAVIC 2 ZOOM,56000,56000,56000,สัญญาภาครัฐ,-,e-GP ปีงบ 2562,https://data.go.th,2026-08-04,ต่ำ,,พบสัญญาเดียว อาจสูงกว่าราคาป้าย
DJI,PHANTOM 4,61700,61700,61700,สัญญาภาครัฐ,-,e-GP ปีงบ 2561 (Phantom 4 V2 จำนวน 1 ตัว),https://data.go.th,2026-08-04,ต่ำ,,อาจสูงกว่าราคาป้าย
DJI,PHANTOM 4 PRO,77199,77199,81000,สัญญาภาครัฐ,สองสัญญา,e-GP ปีงบ 2562-2563,https://data.go.th,2026-08-04,ต่ำ,,อาจสูงกว่าราคาป้าย
DJI,PHANTOM 4 ADV,35899,35899,35899,ป้ายร้าน-ตัวเปล่า,-,DJI Bangkok,https://www.djibangkok.com/,2026-08-04,กลาง,,
DJI,PHANTOM 4 RTK,136000,136000,136000,ป้ายร้าน-ตัวเปล่า,-,DJI Bangkok,https://www.djibangkok.com/,2026-08-04,กลาง,,
DJI,PHANTOM 3 STANDARD,22470,22470,22470,สัญญาภาครัฐ,-,e-GP ปีงบ 2559,https://data.go.th,2026-08-04,ต่ำ,,พบสัญญาเดียว
DJI,FPV,31900,31900,31990,ป้ายร้าน-ชุดคอมโบ,e-GP ใกล้เคียงกัน,World Camera (FPV Combo) / e-GP ปีงบ 2565,https://worldcamera.co.th/,2026-08-04,กลาง,,ไม่พบราคาตัวเปล่า
DJI,MATRICE 4E,147000,147000,182700,ป้ายร้าน-ตัวเปล่า,สัญญาภาครัฐรวมชุด RTK,DJI Bangkok / e-GP ปีงบ 2568,https://www.djibangkok.com/,2026-08-04,กลาง,,
DJI,MATRICE 4T,217000,217000,217000,ป้ายร้าน-ตัวเปล่า,-,DJI Bangkok,https://www.djibangkok.com/,2026-08-04,กลาง,,
DJI,MATRICE 350 RTK,251500,251500,251500,ป้ายร้าน-ตัวเปล่า,-,DJI Bangkok,https://www.djibangkok.com/,2026-08-04,กลาง,,
DJI,MAVIC 3 ENTERPRISE,137000,137000,137000,ป้ายร้าน-ตัวเปล่า,-,DJI Bangkok,https://www.djibangkok.com/,2026-08-04,กลาง,,
DJI,MAVIC 3 THERMAL,187000,187000,187000,ป้ายร้าน-ตัวเปล่า,-,DJI Bangkok,https://www.djibangkok.com/,2026-08-04,กลาง,,Mavic 3 Enterprise Thermal
DJI,AGRAS T10,153000,153000,210000,ป้ายร้าน-ชุดพร้อมบิน,ต่างร้าน ยังอธิบายไม่ได้,สยามคูโบต้า 153000 / MJG 210000,https://www.siamkubota.co.th/en/article/update-drone-price-2024/,2026-08-04,กลาง,,ถัง 8 ลิตร
DJI,AGRAS T16,153000,153000,210000,อนุมาน,ยกช่วงของ T10 มาใช้,ไม่พบราคาไทยของ T16 — ใช้รุ่นร่วมสมัยขนาดใกล้กัน,-,2026-08-04,ต่ำ,,
DJI,AGRAS T20,240000,240000,335000,ป้ายร้าน-ตัวเครื่อง,ตัวเครื่อง+รีโมต ปะทะ ชุดพร้อมแบต 2 ก้อน+แท่นชาร์จ,DJI Reseller (toon-ocean) ตัวเครื่อง 240000 / แฟนธอม ชุด T20P 335000,https://www.toon-ocean.com/shop/dji-t20/,2026-08-05,กลาง,,ถัง 20 ลิตร · ราคาตัวเครื่องไม่รวมแบตเตอรี่และเครื่องชาร์จ
DJI,AGRAS T20P,220000,220000,335000,ป้ายร้าน-ชุดพร้อมบิน,ตัวเครื่อง+รีโมต ปะทะ ชุดแบต 2 ก้อน+แท่นชาร์จ,KRCSHOP 220000 / สยามคูโบต้า 236000 / ชุดเต็ม 335000,https://www.siamkubota.co.th/en/article/update-drone-price-2024/,2026-08-04,สูง,,ถัง 20 ลิตร
DJI,AGRAS T25,251000,251000,251000,ป้ายร้าน-ชุดพร้อมบิน,-,สยามคูโบต้า,https://www.siamkubota.co.th/en/article/update-drone-price-2024/,2026-08-04,กลาง,,ถัง 20 ลิตร
DJI,AGRAS T25P,289000,162100,289000,ป้ายร้าน-ชุดพร้อมบิน,นับชุดขายแค่ไหน — ขอบล่าง Single (บินไม่ได้) ขอบบน Package B (บินได้จริง),แฟนธอม โดรนเกษตร (ตัวแทนจำหน่าย DJI),https://dronekaset.phantomthailand.com/product/dji-agras-t25p/,2026-08-05,สูง,,ถัง 20 ลิตร · Single (โดรน+รีโมต ไม่มีแบต) = 162100 · Package A (แบต 1 ก้อน) = 243000 · Package B (แบต 2+แท่นชาร์จ) = 289000
DJI,AGRAS T30,245000,245000,365000,ป้ายร้าน-ชุดพร้อมบิน,ต่างร้าน 49% ยังอธิบายไม่ได้,สยามคูโบต้า 245000 / MJG 365000,https://www.mjg.co.th/product-category/dji/,2026-08-04,กลาง,,ถัง 30 ลิตร
DJI,AGRAS T40,295000,295000,474000,ป้ายร้าน-ชุดพร้อมบิน,ต่างร้าน 61% ยังอธิบายไม่ได้,สยามคูโบต้า 295000 / MJG 474000,https://www.mjg.co.th/product-category/dji/,2026-08-04,กลาง,,ถัง 40 ลิตร
DJI,AGRAS T50,295000,295000,315000,ป้ายร้าน-ชุดพร้อมบิน,ต่างร้าน 7%,HomePro 295000 / สยามคูโบต้า 315000,https://www.homepro.co.th/p/1279764,2026-08-04,สูง,,ถัง 40 ลิตร
DJI,AGRAS T70P,359000,194500,359000,ป้ายร้าน-ชุดพร้อมบิน,นับชุดขายแค่ไหน — ขอบล่าง Single (บินไม่ได้) ขอบบน Package B (บินได้จริง),แฟนธอม โดรนเกษตร · สยามยนต์ ลงราคา 219500,https://dronekaset.phantomthailand.com/product/dji-agras-t70p/,2026-08-05,สูง,,ถัง 70 ลิตร · Single (โดรน+รีโมต ไม่มีแบต) = 194500 · Package A (แบต 1 ก้อน) = 297000 · Package B (แบต 2+แท่นชาร์จ) = 359000 · ราคา 219500 ที่เคยสงสัยว่าผิด ที่จริงคือชุดคนละแบบ
DJI,AGRAS T100,339500,339500,339500,ป้ายร้าน-ชุดพร้อมบิน,-,สยามคูโบต้า (หน้าเงื่อนไขจองสิทธิ์),https://www.siamkubota.co.th/en/drone_regiter_condition_t25pt70pt100/,2026-08-04,ต่ำ,,ถัง 100 ลิตร
NAC DRONE,EASY3,187900,187900,369000,ป้ายร้าน-ชุดพร้อมบิน,ช่วงราคาทั้งรุ่นในสายผลิตภัณฑ์,NacDrone (เว็บผู้ผลิต) รุ่น EASY 3C,https://nacdrone.com/,2026-08-04,ต่ำ,,จับคู่ชื่อ EASY3 กับ EASY 3C ยังไม่ยืนยัน
DJI,AGRAS MG-1P,267000,190000,467000,ป้ายร้าน-ชุดพร้อมบิน,ราคาตัวเครื่องสองร้านต่างกันเท่าตัว (190000 ปะทะ 390000) แล้วบวกแบต+แท่นชาร์จเท่ากัน,lnwGadget Store (ตัวเครื่อง+เรดาร์ครบ 390000) / toon-ocean 190000,https://store.lnwgadget.com/products/drone/agriculture-drone.html,2026-08-05,ต่ำ,yes,ถัง 10 ลิตร · ประกอบราคา = ตัวเครื่อง + แบต 2 ก้อน (19000×2) + แท่นชาร์จ 39000 · ใช้ตัวเครื่องราคาต่ำสุดที่มีหลักฐาน 190000 เป็นค่าหลัก ⚠️ ราคา 190000 ของ toon-ocean ไม่ระบุว่าชุดไหน · ถ้าใช้ 390000 ของ lnwGadget ซึ่งระบุชัดว่าตัวเครื่อง+รีโมต+เรดาร์ครบ จะได้ 467000 · 🏷️ เลิกผลิตแล้ว: เหตุผลเดียวกับ MG-1
DJI,AGRAS MG-1,267000,190000,267000,ป้ายร้าน-ชุดพร้อมบิน,ขอบล่างคือตัวเครื่องเปล่า ขอบบนคือชุดที่บินได้,lnwGadget Store,https://store.lnwgadget.com/products/drone/agriculture-drone.html,2026-08-05,กลาง,yes,"ถัง 10 ลิตร · ประกอบราคา = ตัวเครื่อง 190000 (ร้านระบุ ""No Batt.& Charger"") + แบต 2 ก้อน (19000×2) + แท่นชาร์จ 39000 · ราคาอะไหล่จากหน้าเดียวกัน · 🏷️ เลิกผลิตแล้ว: DJI ไม่ออกรุ่น MG ใหม่อีกเลยหลัง MG-1P สายที่ขายอยู่คือ T ทั้งหมด"
DJI,AGRAS MG-1S,267000,190000,367000,ป้ายร้าน-ชุดพร้อมบิน,ขอบบนใช้ราคาตัวเครื่องปกติ 290000 แทนราคาลด 190000,lnwGadget Store,https://store.lnwgadget.com/products/drone/agriculture-drone.html,2026-08-05,กลาง,yes,"ถัง 10 ลิตร · ประกอบราคา = ตัวเครื่อง 190000 (ลดจาก 290000 · ร้านระบุ ""No Batt.& Charger"") + แบต 2 ก้อน (19000×2) + แท่นชาร์จ 39000 · 🏷️ เลิกผลิตแล้ว: เหตุผลเดียวกับ MG-1"
KASET GEN-Y,GCS-9,75000,75000,85000,ป้ายร้าน-ชุดพร้อมบิน,ราคาตั้งต้น 85000 ขายจริง 75000,บทความข่าวเกษตร kasettumkin.com,https://kasettumkin.com/innovation-technology/article_13779,2026-08-05,กลาง,,ถัง 5 ลิตร · แบรนด์ไทย (บจก.กรีนเซ็นเตอร์เซอร์วิส)
KASET GEN-Y,GCS-9+,75000,75000,85000,อนุมาน,ยกราคาจาก GCS-9 ในสายผลิตภัณฑ์เดียวกัน,ไม่พบราคาที่ประกาศของรุ่น GCS-9+ โดยตรง,https://kasettumkin.com/innovation-technology/article_13779,2026-08-05,ต่ำ,,เครื่องหมาย + น่าจะเป็นรุ่นปรับปรุง ราคาจริงอาจสูงกว่านี้
DJI,AIR 3S,34990,34990,49900,ป้ายร้าน-ตัวเปล่า,ขอบบน = Fly More Combo (RC2) 49900,lnwGadget Store,https://www.lnwgadget.com/dji-air-3s-ประกันศูนย์ไทย/,2026-08-16,สูง,,ชุดมาตรฐาน โดรน+รีโมต RC-N3+แบต 1 ก้อน · ประกันศูนย์ไทย · เลข 34990 นี้เคยถูกใช้เป็นเพดานอนุมานของ AIR 3 อยู่แล้ว ตอนนี้กลายเป็นราคาจริงของ AIR 3S เอง
DJI,MAVIC 3 CLASSIC,43390,43390,59100,ป้ายร้าน-ตัวเปล่า,ขอบบน = ชุดที่มีรีโมต DJI RC (จอในตัว) 59100,lnwGadget Store,https://store.lnwgadget.com/dji-mavic-3-classic-standard-combo-eu.html,2026-08-16,สูง,,ชุด Standard โดรน+รีโมต RC-N1+แบต 1 ก้อน+ที่ชาร์จ 65W · ประกันศูนย์ไทย · 🚨 ผลค้นหาสรุปเลขนี้ผิดเป็น 52068 ต้องเปิดหน้าจริงถึงเห็น 43390
DJI,MAVIC 4 PRO,73990,73990,120490,ป้ายร้าน-ตัวเปล่า,ขอบบน = 512GB Creator Combo (RC Pro 2) 120490 · กลาง = Fly More Combo (RC 2) 90500,lnwGadget Store,https://www.lnwgadget.com/dji-mavic-4-pro-ราคาเริ่มต้น-73990-บาท-ประกันศูนย์ไทย/,2026-08-16,สูง,,ชุดพื้นฐานที่ถูกที่สุดจาก 3 ชุด · ประกันศูนย์ไทย
AUTEL ROBOTICS,EVO LITE ENTERPRISE 6K,97700,97700,97700,ป้ายร้าน-ชุดคอมโบ,ไม่พบชุดตัวเครื่องอย่างเดียวขายในไทย,JIB (ร้านค้าปลีกไทย),https://www.jib.co.th/web/product/readProduct/72179/951/DRONE--โดรน--AUTEL-EVO-LITE-ENTERPRISE-6K--PLUS-COMBO-,2026-08-16,กลาง,,ชุด Plus Combo — โดรน+รีโมต+แบตสำรอง 2 ก้อน+ใบพัด+เคส Rugged · ⚠️ เป็นชุดคอมโบ ไม่ใช่ตัวเปล่า จึงสูงกว่าฐานหลักของตารางนี้ · ผลค้นหาสรุปราคาผิดเป็น 102100 ต้องเปิดหน้าจริงถึงเห็น 97700
FIMI,MINI 3,14000,14000,15800,ป้ายร้าน-ไม่ระบุชุด,หน้าร้านลงเป็นช่วง 14000-15800 โดยไม่บอกว่าตัวเลือกต่างกันอย่างไร,FIMI Thailand (ตัวแทนจำหน่ายไทย),https://fimithailand.com/product-category/drone/,2026-08-16,กลาง,,ยืนยันว่าเป็นรุ่นเดียวกัน 3 ทาง — ชื่อทางการของ FIMI คือ Mini 3 (ไม่มี X8 · เว็บไทยเติม X8 เอง) · เปิดตัว ก.ค. 2024 ตรงกับที่ทะเบียนไทยจด 766 จาก 769 ลำในปี 2025 · เว็บไทยทางการยังขายอยู่ · ⚠️ ติดป้าย 'ไม่ระบุชุด' เพราะหน้าร้านไม่บอกว่าช่วงราคาต่างกันเพราะชุดขายหรืออย่างอื่น ใช้ขอบล่างเป็นค่าหลักตามกติกา
HOVERAIR,X1,13990,13990,13990,ป้ายร้าน-ตัวเปล่า,ไม่พบชุดขายอื่นของรุ่นนี้ในไทย,ZoomCamera (บทความรีวิวระบุราคา) · ยืนยันตรงกันที่ Power Buy / EC Mall / World Camera,https://www.zoomcamera.net/review-hover-air-x1-selfie-drone/,2026-08-16,กลาง,,โดรนเซลฟี่ 125 กรัม ประกันศูนย์ไทย · ⚠️ ติดป้ายกลางเพราะหน้าร้าน ZoomCamera/EC Mall ตอบ 403 เปิดอ่านตรงไม่ได้ ต้องอาศัยหน้ารีวิวกับผลค้นหา — ต่างจากรุ่น DJI ในตารางนี้ที่เปิดหน้าร้านยืนยันได้ทุกแถว
DJI,AVATA 360,20290,20290,25290,ป้ายร้าน-ตัวเปล่า,ขอบบน = Fly More Combo (แบต 3 ก้อน+กระเป๋า) 25290 · ชุดที่มีแว่น Goggles N3 แพงกว่านี้อีก,Aquapro (ตัวแทนจำหน่ายไทย),https://aquapro.co.th/product/dji-avata-360-set/,2026-08-16,สูง,,ชุดพื้นฐาน โดรน+รีโมต DJI RC 2+แบต 1 ก้อน ไม่มีแว่น · ประกันศูนย์ไทย 12 เดือน
DJI,AVATA,32900,32900,46800,ป้ายร้าน-ตัวเปล่า,ขอบบน = Pro-View Combo (มีแว่น Goggles 2 + RC Motion 2) ราว 46800,BIG Camera (ตัวแทนจำหน่ายไทย),https://www.bigcamera.co.th/dji-avata,2026-08-17,กลาง,yes,"ชุด ""No RC"" = ตัวเครื่องอย่างเดียว ไม่มีรีโมตไม่มีแว่น จึงอยู่ฐานเดียวกับ AVATA 2 ในตาราง · 🏷️ เลิกผลิตแล้ว: DJI ออก Avata 2 (2567) แทน — ราคายังสูงกว่ารุ่นใหม่ 2.2 เท่า ซึ่งเป็นเรื่องปกติของของที่เลิกทำแล้วเหลือน้อย · 🚨 รอบก่อนเคยตัดสินว่า ""ไทยไม่มีชุดตัวเปล่าขาย"" ซึ่งผิด — ค้นไม่เจอเองแล้วสรุปว่าไม่มี ผู้ใช้เป็นคนหาหน้านี้มาให้"
